fixture_id,date,timestamp,timezone,referee,status_short,status_long,elapsed_time,league_id,league_name,country,season,round,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,goals_home,goals_away,score_ht_home,score_ht_away,score_ft_home,score_ft_away,score_et_home,score_et_away,score_pen_home,score_pen_away,venue_name,venue_city
1366940,2025-11-12T10:00:00+00:00,1762941600,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10372,Malta U19,False,10375,Northern Ireland U19,True,0,1,0,1,0,1,,,,,,
1412611,2025-11-12T10:00:00+00:00,1762941600,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,9148,Chornomorets II,,24588,Oleksandria II,,1,1,1,0,1,1,,,,,SK Lyustdorf,Odesa
1470412,2025-11-12T10:00:00+00:00,1762941600,UTC,,FT,Match Finished,90,275,Liga 2,Indonesia,2025,Regular Season East - 16,2440,Persipura Jayapura,True,15830,Persipal,False,3,0,3,0,3,0,,,,,Mandala Stadium,Jayapura
1481758,2025-11-12T10:00:00+00:00,1762941600,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,25809,ABFF U19,False,10364,Greece U19,True,0,2,0,0,0,2,,,,,,
1366936,2025-11-12T10:30:00+00:00,1762943400,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10335,Georgia U19,False,10329,Croatia U19,True,0,2,0,1,0,2,,,,,,
1412615,2025-11-12T10:30:00+00:00,1762943400,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,3624,Hirnyk-Sport,False,26740,Livyi Bereg 2,True,1,4,0,1,1,4,,,,,Yunist Stadium,Horisni Plavni
1412484,2025-11-12T10:45:00+00:00,1762944300,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,26187,Atlet,False,24589,Polissya II,True,1,4,0,1,1,4,,,,,Stadion Atlet,Kyiv
1366934,2025-11-12T11:00:00+00:00,1762945200,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10374,Montenegro U19,False,10347,Slovakia U19,True,0,3,0,1,0,3,,,,,,
1400446,2025-11-12T11:00:00+00:00,1762945200,UTC,,FT,Match Finished,90,334,Persha Liga,Ukraine,2025,Regular Season - 5,17162,Livyi Bereh,,14433,Chernihiv,,1,1,1,1,1,1,,,,,Arena Livyi Bereg,Kyiv
1412610,2025-11-12T11:00:00+00:00,1762945200,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,6483,Chayka,True,6487,Dinaz Vyshhorod,False,5,0,4,0,5,0,,,,,Tsentralnyi stadion im. Mikhaila Brukvenka,Makariv
1435881,2025-11-12T11:00:00+00:00,1762945200,UTC,,FT,Match Finished,90,566,Ligue A,Burundi,2025,Regular Season - 12,14270,Muzinga,True,8104,Le Messager Ngozi,False,2,1,,,2,1,,,,,Stade Urunani,Buganda
1436394,2025-11-12T11:00:00+00:00,1762945200,UTC,,INT,Match Interrupted,,733,I Liga - Women,Slovakia,2025,Regular Season - 11,21586,Tatran Prešov W,,15976,Trenčín W,,0,0,,,,,,,,,,
1485979,2025-11-12T11:00:00+00:00,1762945200,UTC,,PEN,Match Finished,120,486,Coppa,Belarus,2025,Round of 32,3392,Slonim,True,387,Neman,False,0,0,0,0,0,0,0,0,5,4,Yunost Stadium,Slonim
1366929,2025-11-12T11:30:00+00:00,1762947000,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10331,Denmark U19,True,10379,San Marino U19,False,6,0,1,0,6,0,,,,,,
1412605,2025-11-12T11:30:00+00:00,1762947000,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,21956,Skala 1911 Stryi,True,24570,Vilkhivtsi,False,4,1,0,0,4,1,,,,,Stadion Sokil,Stryi
1366923,2025-11-12T12:00:00+00:00,1762948800,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10334,France U19,True,10362,Faroe Islands U19,False,4,0,2,0,4,0,,,,,,
1412608,2025-11-12T12:00:00+00:00,1762948800,UTC,,FT,Match Finished,90,336,Druha Liga,Ukraine,2025,Regular Season - 18,6499,Uzhhorod,False,24566,Kulykiv,True,0,2,0,2,0,2,,,,,Avanhard Stadium,Uzhorod
